Lexeme	WC	Flexion
anusinngujuits¦oq	N	–up, –ut
anusinnguu¦ppaa	V	–tinngilaa
arabereqarfi¦k	N	–up, –it
arbejdsmarkedskonsulenti	N	–p, –t
areali	N	–p, –t
arki	N	–p, –t
arkitekti	N	–p, –t
arkivi	N	–p, –t
arn¦i	N	–ip, {–er, –it}
arveprinsi	N	–p, –t
asbesti	N	–p, –t
aserne¦q	N	–rup, –rit
aserniki¦ppoq	V	–nngilaq
aserpasi¦ppoq	V	–nngilaq
asfalti	N	–p, –t
asialui¦ppoq	V	–nngilaq
asialu¦ppoq	V	–nngilaq
Asiamiu	N	–p, –t
asiaqatig¦aa	V	–inngilaa
asiarne¦q	N	–rup, –rit
asia¦rpoq	V	–nngilaq
asiarsima¦voq	V	–nngilaq
assistenti	N	–p, –t
astrologi	N	–ip, –it
astrologi	N	–p, –t
atlas¦si	N	{–-ip, –sip}, {–-it, –sit}
atombombit	N, pl.	-
atomi	N	–p, –t
atomi¦tortoq	N	{–sortup, –tortup}, {–sortut, –tortut}
attesti	N	–p, –t
ATV	N	–-t
autism¦e	N	–ip, {–er, –it}
autisti	N	–p, –t
autistiu¦voq	V	–nngilaq
automati	N	–p, –t
avil¦erpoq	V	–inngilaq
avilia¦q	N	–p, –t
avissaarne¦q	N	–rup, –rit
avissaa¦rpoq	V	–nngilaq
avissaartuune¦q	N	–rup, –rit
avissaavinne¦q	N	–rup, –rit
avissaa¦voq	V	–nngilaq
avitaane¦q	N	–rup, –rit
avita¦q	N	–p, –t
avitt¦oorpoq	V	–uunngilaq
aviutitsi¦voq	V	–nngilaq
aviu¦voq	V	–nngilaq
B-vitamini	N	–p, –t
bachelor	N	–ip, –it
bachelori	N	–p, –t
bachelorinngorniarne¦q	N	–rup, –rit
backi	N	–p, –t
baconi	N	–p, –t
badmintoni	N	–p, –t
bagepapiri	N	–p, –t
bajeri	N	–p, –t
bakk¦e	N	–ip, {–er, –it}
bakk¦i	N	–ip, {–er, –it}
bakteria	N	–p, –t
bakteriaajaat	N	–ip, –it
bakteriaqanngits¦oq	N	–up, –ut
bakteriat	N, pl.	-
ballad¦e	N	–ip, {–er, –it}
ballasti	N	–p, –t
ballet	N	–ip, –it
bams¦e	N	–ip, {–er, –it}
bams¦i	N	–ip, {–er, –it}
banani	N	–p, –t
banegårdi	N	–p, –t
banj¦o	N	–up, –ut
bankassistenti	N	–p, –t
bankbogi	N	–p, –t
banki	N	–p, –t
bank¦o	N	–up, –ut
bankorne¦q	N	–rup, –rit
baptisti	N	–p, –t
bartenderi	N	–p, –t
basalti	N	–p, –t
basareqa¦rpoq	V	–nngilaq
bas¦e	N	–ip, {–er, –it}
bastioni	N	–p, –t
batteri	N	{–ip, –p}, {–it, –t}
batteri¦i	N	{–ip, –p}, {–it, –t}
batteri¦ilersorpaa	V	{–ilersunngilaa, –lersunngilaa}
batteri¦ilersorpoq	V	{–ilersunngilaq, –lersunngilaq}
baviani	N	–p, –t
beduini	N	–p, –t
begrebi	N	–p, –t
behaviorism¦i	N	–ip, {–er, –it}
benvarmeri	N	–p, –t
benzin	N	–ip, –it
bestyrels¦e	N	–ip, {–er, –it}
bestyrels¦i	N	–ip, {–er, –it}
bibliografi	N	{–ip, –p}, {–it, –t}
bibliotekari	N	–p, –t
biblioteki	N	–p, –t
bilagi	N	–p, –t
billard	N	–ip, –it
billarderne¦q	N	–rup, –rit
billardi	N	–p, –t
billet	N	–ip, –it
billetileris¦oq	N	–up, –ut
billion	N	–ip, –it
billioni	N	–p, –t
bing¦o	N	–up, –ut
bing¦orpoq	V	–unngilaq
biografi	N	{–ip, –p}, {–it, –t}
biografi	N	–p, –t
biografi¦i	N	{–ip, –p}, {–it, –t}
