Lexeme	WC	Flexion
C-vitamini	N	–p, –t
cadmi¦um	N	{–ip, –umip}, {–it, –umit}
Californiam¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup, –inngaanninngaanneersup, –inngaanninngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut, –inngaanninngaanneersut, –inngaanninngaanneertut}
Californiamioq	N	(no generation)
California¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
Cambodjamioq	N	(no generation)
Cambodja¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
campeqarfi¦k	N	–up, –it
Canada	Prop	–p
Canada¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
cannabis	N	–ip, –it
cell¦o	N	–up, –ut
cellofan	N	–ip, –it
celsius	N	–ip, –it
cement	N	–ip, –it
cementiliorpoq	V	(no generation)
censori	N	–p, –t
centeri	N	–p, –t
centiliteri	N	–p, –t
chatterpoq	V	(no generation)
chauffør	N	–ip, –it
check	N	–ip, –it
checki	N	–p, –t
Chilem¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup, –inngaanninngaanneersup, –inngaanninngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut, –inngaanninngaanneersut, –inngaanninngaanneertut}
Chilemioq	N	(no generation)
Chile¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
cigaret	N	–ip, –it
cikori¦e	N	–ap, –at
cirkel	N	–ip, –it
cirkus	N	–ip, –it
citron	N	–ip, –it
civilingeniøri	N	–p, –t
collag¦e	N	–ip, {–er, –it}
Colombiam¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup, –inngaanninngaanneersup, –inngaanninngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut, –inngaanninngaanneersut, –inngaanninngaanneertut}
Colombiamioq	N	(no generation)
Colombia¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
container	N	–ip, –it
containereqarfi¦k	N	–up, –it
coronavirus	N	–ip, –it
COVID-19	Num	–-ip, –-it
Cubam¦eersoq	N	{–eersup, –eertup, –inngaanneersup, –inngaanneertup, –inngaanninngaanneersup, –inngaanninngaanneertup}, {–eersut, –eertut, –inngaanneersut, –inngaanneertut, –inngaanninngaanneersut, –inngaanninngaanneertut}
Cuba¦miu	N	{–miup, –rmiup}, {–miut, –rmiut}
cykel	N	–ip, –it
cykelerpoq	V	(no generation)
cyklert¦oq	N	–up, –ut
cykler¦toq	N	{–sup, –tup}, {–sut, –tut}
cylinder	N	–ip, –it
cypres	N	–ip, –it
