Lexeme	WC	Flexion
ueruloorti¦ppaa	V	–nngilaa
uerulu¦ppoq	V	–nngilaq
uffa	Interj	(no generation)
uffaat	N	–ip, –it
uffaataasinnaa¦voq	V	–nngilaq
uffaataa¦voq	V	–nngilaq
uffagaa¦voq	V	–nngilaq
uffa¦gaq	N	–kkap, –kkat
uffagassa¦q	N	–p, –t
uffarfi¦k	N	–up, –it
uffarne¦q	N	–rup, –rit
uffa¦rpaa	V	–nngilaa
uffa¦rpoq	V	–nngilaq
uffarsima¦voq	V	–nngilaq
uffartaanna¦rpoq	V	–nngilaq
uffartarfi¦k	N	–up, –it
ugg	Interj	(no generation)
ugga	Interj	(no generation)
uggor¦aa	V	–inngilaa
uggornaqaaq	V	(no generation)
uggornaralua¦rpoq	V	–nngilaq
uggornaraluart¦oq	N	–up, –ut
uggorna¦rpoq	V	–nngilaq
uggornart¦oq	N	–up, –ut
uggorsaa¦rpaa	V	–nngilaa
uggorsaatig¦aa	V	–inngilaa
uggorsarne¦q	N	–rup, –rit
uggorsa¦rpoq	V	–nngilaq
ugguar¦aa	V	–inngilaa
ugguaraluaqaaq	V	(no generation)
ugguarnaqaaq	V	(no generation)
ugguarne¦q	N	–rup, –rit
ugguarnertu¦voq	V	–nngilaq
ugguarpallaa¦rpoq	V	–nngilaq
uggua¦rpoq	V	–nngilaq
ugguart¦oq	N	–up, –ut
ugguunaqqu¦ppaa	V	–tinngilaa
ugguunaqqu¦ppoq	V	–tinngilaq
ugguut	N	–ip, –it
ugguutaa¦voq	V	–nngilaq
ugguutig¦aa	V	–inngilaa
ugguutissaanngilaq	V	(no generation)
ui	N	–p, –t
uiaakkiart¦orpaa	V	–unngilaa
uiaania¦q	N	–p, –t
uiaa¦ppaa	V	–tinngilaa
uiaassi¦voq	V	–nngilaq
uiaassui¦voq	V	–nngilaq
uial¦ik	N	{–iup, –lip, –lup}, –lit
uiallaatig¦aa	V	–inngilaa
uiannisaa¦rpoq	V	–nngilaq
uiannisaarutig¦aa	V	–inngilaa
uia¦q	N	–p, –t
uiari¦aq	N	–ssap, –ssat
uiarne¦q	N	–rup, –rit
uia¦rpaa	V	–nngilaa
uia¦rpoq	V	–nngilaq
uiarsaa¦rpaa	V	–nngilaa
uiarsaa¦rpoq	V	–nngilaq
uiart¦erpaa	V	–inngilaa
uiartorneqa¦rpoq	V	–nngilaq
uiar¦torneqarpoq	V	{–sorneqanngilaq, –torneqanngilaq}
uiart¦orpaa	V	–unngilaa
